time,field_id,next_field
1379248382,44,23
1379248544,23,53
1379248664,53,11
1379248794,11,16
1379248913,16,20
1379249032,20,54
1379249156,54,57
1379249275,57,33
1379249398,33,19
1379249529,19,9
1379249655,9,46
1379249776,46,31
1379249894,31,36
1379250022,36,30
1379250146,30,42
1379250265,42,3
1379250385,3,21
1379250508,21,49
1379250625,49,4
1379250745,4,29
1379250873,29,10
1379250995,10,39
1379251113,39,22
1379251233,22,58
1379251365,58,24
1379251486,24,0
1379251606,0,48
1379251734,48,25
1379251865,25,51
1379251987,51,18
1379252114,18,28
1379252234,28,38
1379252355,38,26
1379252499,26,12
1379252624,12,35
1379252755,35,41
1379252874,41,32
1379252993,32,52
1379253125,52,13
1379253246,13,45
1379253371,45,56
1379253498,56,2
1379253618,2,27
1379253745,27,37
1379253870,37,5
1379253996,5,34
1379254115,34,50
1379254248,50,43
1379254367,43,6
1379254487,6,55
1379254607,55,8
1379254733,8,14
1379254855,14,15
1379254983,15,17
1379255103,17,47
1379255225,47,1
1379255345,1,7
1379255473,7,40
1379255635,40,
