time,policy_bin_id,bin_id,policy_field_id,field_id
1418691145,529,529,147,40
1418691265,497,497,110,101
1418691389,497,497,101,110
1418691517,529,529,61,145
1418691726,709,709,18,43
1418691847,709,709,18,69
1418691966,709,709,69,69
1418692048,709,709,138,18
1418692166,709,709,69,30
1418692241,728,728,60,60
1418692362,728,728,3,41
1418692482,728,728,41,3
1418692614,708,708,180,180
1418692734,708,708,180,180
1418692865,709,709,69,138
1418693035,592,592,87,87
1418693191,684,684,127,127
1418693327,708,708,180,88
1418693528,529,529,195,44
1418693648,529,529,75,65
1418693775,560,560,196,134
1418693897,560,560,196,86
1418694016,560,560,53,53
1418694138,529,529,150,195
1418694257,529,529,192,185
1418694380,529,529,185,61
1418694497,529,529,45,61
1418694617,529,529,75,150
1418694736,529,529,195,45
1418694854,529,529,192,40
1418694976,529,529,61,75
1418695094,529,529,192,75
1418695217,529,529,75,147
1418695351,560,560,134,196
1418695469,560,560,196,196
1418695605,561,561,115,115
1418695722,561,561,93,97
1418695840,561,561,149,149
1418695959,529,529,61,192
1418696079,529,529,45,122
1418696196,561,561,26,93
1418696315,561,561,93,93
1418696433,561,561,26,26
1418696558,561,561,133,166
1418696676,561,561,166,133
1418696797,561,593,133,4
1418696976,402,402,72,120
1418697050,402,402,176,72
1418697169,402,402,77,8
1418697290,339,370,132,13
1418697408,370,370,116,116
1418697539,402,402,22,176
1418697657,402,402,176,90
1418697775,402,402,120,176
1418697899,402,402,120,22
1418698042,339,339,29,117
1418698160,339,339,10,188
1418698278,339,339,112,132
1418698398,339,339,188,10
1418698515,339,339,112,10
1418698638,339,339,188,187
1418698756,339,339,132,187
1418698880,339,339,187,29
1418699000,339,339,112,112
1418699117,339,339,187,112
1418699246,370,370,104,135
1418699366,370,370,116,163
1418699483,370,370,13,104
1418699602,403,403,39,155
1418699719,370,370,13,154
1418699848,403,403,148,184
1418699987,402,402,8,74
1418700106,402,402,176,77
1418700227,434,434,167,197
1418700346,434,434,54,197
1418700464,434,434,54,167
1418700582,403,403,148,99
1418700699,403,403,71,71
1418700818,403,403,152,164
1418700938,403,403,164,174
1418701058,403,403,99,5
1418701178,403,403,2,148
1418701299,403,403,2,2
1418701417,403,403,99,2
1418701535,403,403,124,152
1418701655,403,403,184,140
1418701778,403,403,164,39
1418701897,403,403,148,124
1418702015,403,403,164,47
1418702138,434,434,197,54
1418702256,434,434,54,21
1418702378,434,434,54,54
1418702508,467,467,162,89
1418702627,467,467,162,79
1418702748,467,467,108,162
1418702868,498,498,64,105
1418702987,498,498,64,73
1418703104,498,498,7,64
1418703227,467,467,181,181
1418703347,467,467,89,161
1418703469,467,467,108,55
1418703604,498,498,105,7
1418703726,467,467,55,182
1418703845,467,467,55,108
1418703962,467,467,181,108
1418704081,467,467,79,130
1418704201,499,499,139,19
1418704318,499,499,49,32
1418704438,499,499,170,34
1418704556,499,499,193,136
1418704674,499,499,170,94
