time,field_id,next_field_id
1388538288,0,1.0
1388538484,1,2.0
1388538614,2,3.0
1388538736,3,4.0
1388538855,4,5.0
1388538982,5,6.0
1388539101,6,7.0
1388539268,7,8.0
1388539387,8,9.0
1388539513,9,10.0
1388539638,10,11.0
1388539757,11,12.0
1388539877,12,13.0
1388539995,13,14.0
1388540114,14,15.0
1388540232,15,16.0
1388540354,16,17.0
1388540473,17,18.0
1388540599,18,19.0
1388540723,19,20.0
1388540848,20,21.0
1388540967,21,22.0
1388541086,22,23.0
1388541205,23,24.0
1388541323,24,25.0
1388541449,25,26.0
1388541568,26,27.0
1388541694,27,28.0
1388541814,28,29.0
1388541935,29,30.0
1388542055,30,31.0
1388542174,31,32.0
1388542302,32,33.0
1388542422,33,34.0
1388542542,34,35.0
1388542670,35,36.0
1388542791,36,37.0
1388542920,37,38.0
1388543042,38,39.0
1388543161,39,40.0
1388543280,40,41.0
1388543423,41,42.0
1388543543,42,43.0
1388543672,43,44.0
1388543791,44,45.0
1388543913,45,46.0
1388544067,46,47.0
1388544187,47,48.0
1388544309,48,49.0
1388544429,49,50.0
1388544561,50,51.0
1388544680,51,52.0
1388544802,52,53.0
1388544921,53,54.0
1388545040,54,55.0
1388545159,55,56.0
1388545278,56,57.0
1388545398,57,58.0
1388545517,58,59.0
1388545642,59,60.0
1388546057,60,61.0
1388546182,61,62.0
1388546302,62,63.0
1388546422,63,64.0
1388546540,64,65.0
1388546660,65,66.0
1388546779,66,67.0
1388546900,67,68.0
1388547019,68,69.0
1388547386,69,70.0
1388547504,70,71.0
1388547628,71,72.0
1388547751,72,73.0
1388547906,73,74.0
1388548066,74,75.0
1388548190,75,76.0
1388548372,76,77.0
1388548493,77,78.0
1388548611,78,79.0
1388548731,79,80.0
1388548852,80,81.0
1388548972,81,82.0
1388549093,82,83.0
1388549242,83,84.0
1388549383,84,85.0
1388549502,85,86.0
1388549627,86,87.0
1388549746,87,88.0
1388549869,88,89.0
1388549991,89,90.0
1388550131,90,91.0
1388550251,91,92.0
1388550370,92,93.0
1388550502,93,94.0
1388550622,94,95.0
1388550742,95,96.0
1388550864,96,97.0
1388550987,97,98.0
1388551105,98,99.0
1388551226,99,100.0
1388551347,100,101.0
1388551465,101,102.0
1388551584,102,103.0
1388551703,103,104.0
1388551821,104,105.0
1388551941,105,106.0
1388552134,106,107.0
1388552252,107,108.0
1388552372,108,109.0
1388552491,109,110.0
1388552616,110,111.0
1388552736,111,112.0
1388552854,112,113.0
1388552972,113,114.0
1388553092,114,115.0
1388553210,115,116.0
1388553330,116,117.0
1388553453,117,118.0
1388553572,118,119.0
1388553691,119,120.0
1388553814,120,121.0
1388553941,121,122.0
1388554060,122,123.0
1388554179,123,124.0
1388554302,124,125.0
1388554422,125,126.0
1388554540,126,127.0
1388554662,127,128.0
1388554781,128,129.0
1388554933,129,130.0
1388555053,130,131.0
1388555173,131,132.0
1388555291,132,133.0
1388555411,133,134.0
1388555545,134,135.0
1388555664,135,136.0
1388555784,136,137.0
1388555905,137,138.0
1388556029,138,139.0
1388556150,139,140.0
1388556271,140,141.0
1388556391,141,142.0
1388556521,142,143.0
1388556641,143,144.0
1388556760,144,145.0
1388556882,145,146.0
1388557002,146,147.0
1388557124,147,148.0
1388557243,148,149.0
1388557363,149,150.0
1388557492,150,151.0
1388557612,151,152.0
1388557731,152,153.0
1388557879,153,154.0
1388557999,154,155.0
1388558118,155,156.0
1388558240,156,157.0
1388558359,157,158.0
1388558479,158,159.0
1388558599,159,160.0
1388558718,160,161.0
1388558837,161,162.0
1388558956,162,163.0
1388559081,163,164.0
1388559199,164,165.0
1388559318,165,166.0
1388559439,166,167.0
1388559564,167,168.0
1388559682,168,169.0
1388559803,169,170.0
1388559922,170,171.0
1388560041,171,172.0
1388560159,172,173.0
1388560279,173,174.0
1388560404,174,175.0
1388560527,175,176.0
1388560652,176,177.0
1388560772,177,178.0
1388560919,178,179.0
1388561038,179,180.0
1388561157,180,181.0
1388561277,181,182.0
1388561398,182,183.0
1388561515,183,184.0
1388561637,184,185.0
1388561757,185,186.0
1388561876,186,187.0
1388561996,187,188.0
1388562114,188,189.0
1388562234,189,190.0
1388562353,190,191.0
1388562474,191,192.0
1388562595,192,193.0
1388562713,193,194.0
1388562818,194,195.0
1388563011,195,196.0
1388563129,196,197.0
1388563295,197,198.0
1388563525,198,199.0
1388563741,199,200.0
1388563948,200,201.0
1388564296,201,202.0
1388564444,202,203.0
1388564591,203,204.0
1388564754,204,205.0
1388564896,205,206.0
1388565022,206,
