agent_timestamp,agent_field_id,agent_bin_id,expert_timestamp,expert_field_id,expert_bin_id,timestamp
1547004473,-1,0,1547004473,-1,0,1547004473
1547004593,4665,463,1547004483,2955,167,1547004593
1547004713,11031,463,1547004604,3755,133,1547004713
1547004833,9424,463,1547004740,2494,166,1547004833
1547004953,13422,463,1547004859,727,132,1547004953
1547005073,4315,463,1547004979,10223,102,1547005073
1547005193,7467,463,1547005102,2718,132,1547005193
1547005313,13419,463,1547005229,10290,102,1547005313
1547005433,15052,463,1547005350,10946,75,1547005433
1547005553,8164,463,1547005484,15809,76,1547005553
1547005673,5965,404,1547005621,10947,101,1547005673
1547005793,4688,349,1547005741,10784,75,1547005793
1547005913,13499,349,1547005859,15848,75,1547005913
1547006033,12549,349,1547005977,10236,75,1547006033
1547006153,9289,349,1547006105,8378,74,1547006153
1547006273,3980,349,1547006236,6245,52,1547006273
1547006393,7234,349,1547006365,10703,34,1547006393
1547006513,9629,349,1547006507,2958,51,1547006513
1547006633,3824,349,1547006639,5736,34,1547006633
1547006753,11049,349,1547006757,14224,34,1547006753
1547006873,4780,349,1547006887,2933,51,1547006873
1547006993,10178,349,1547007005,2933,51,1547006993
1547007113,10534,349,1547007148,15926,19,1547007113
1547007233,11052,349,1547007297,2480,73,1547007233
1547007353,8054,349,1547007480,8037,55,1547007353
1547007473,8054,349,1547007623,6083,136,1547007473
1547007593,11052,349,1547007741,5789,136,1547007593
1547007713,5774,349,1547007859,15801,137,1547007713
1547007833,15685,349,1547007978,11122,137,1547007833
1547007953,6152,349,1547008096,11127,105,1547007953
1547008073,15741,349,1547008216,15832,105,1547008073
1547008193,8225,349,1547008334,15831,137,1547008193
1547008313,5779,349,1547008454,13957,106,1547008313
1547008433,11051,349,1547008628,3533,131,1547008433
1547008553,6143,403,1547008747,14209,131,1547008553
1547008673,11910,403,0,0,0,1547008673
