agent_timestamp,agent_field_id,agent_bin_id,expert_timestamp,expert_field_id,expert_bin_id,timestamp
1485568610,-1,0,1485568610,-1,0,1485568610
1485568730,13058,205,1485568620,10248,18,1485568620
1485568850,14085,204,1485568739,10247,18,1485568739
1485568970,13054,246,1485568859,10588,8,1485568859
1485569090,1848,246,1485568978,11118,2,1485568978
1485569210,2403,246,1485569149,10771,3,1485569149
1485569330,13239,246,1485569267,10711,3,1485569267
1485569450,11039,246,1485569386,10663,11,1485569386
1485569570,10729,292,1485569518,6280,23,1485569518
1485569690,2457,342,1485569769,10816,199,1485569769
1485569810,10903,342,1485569887,10815,199,1485569887
1485569930,13626,342,1485570062,10473,34,1485570062
1485570050,15602,342,1485570139,11118,9,1485570139
1485570170,9895,396,1485570212,10419,20,1485570212
1485570290,12778,396,1485570286,6234,10,1485570286
1485570410,9895,396,1485570362,10418,36,1485570362
1485570530,12778,396,1485570437,10771,21,1485570437
1485570650,4041,396,1485570511,10711,21,1485570511
1485570770,15044,396,1485570585,10663,22,1485570585
1485570890,10903,396,1485570660,10139,37,1485570660
1485571010,3988,396,1485570734,10547,37,1485570734
1485571130,9900,342,1485570808,6212,37,1485570808
1485571250,3865,396,1485570881,10138,57,1485570881
1485571370,3826,396,1485570954,6280,22,1485570954
1485571490,10172,342,1485571027,10137,38,1485571027
1485571610,13038,342,1485571101,10136,57,1485571101
1485571730,2204,342,1485571188,11119,107,1485571188
1485571850,2203,342,1485571307,11119,107,1485571307
1485571970,8490,342,1485571425,11119,107,1485571425
1485572090,2426,342,1485571544,11096,106,1485571544
1485572210,2547,342,1485571663,11096,106,1485571663
1485572330,2492,342,1485571783,11090,138,1485571783
1485572450,13307,397,1485571902,11120,137,1485571902
1485572570,13510,397,1485572022,11120,137,1485572022
1485572690,2422,397,1485572143,11120,137,1485572143
1485572810,10906,397,1485572262,11121,137,1485572262
1485572930,10172,397,1485572381,11121,137,1485572381
1485573050,13234,397,1485572501,11121,137,1485572501
1485573170,10906,397,1485572618,11122,106,1485572618
1485573290,8169,397,1485572780,10317,351,1485572780
1485573410,3496,397,1485572899,10317,351,1485572899
1485573530,15201,397,1485573018,10316,351,1485573018
1485573650,10905,397,1485573158,11068,253,1485573158
1485573770,9393,397,1485573276,11068,253,1485573276
1485573890,8587,397,1485573394,11123,253,1485573394
1485574010,15705,397,1485573515,11123,253,1485573515
1485574130,13621,397,1485573636,11067,300,1485573636
1485574250,13250,397,1485573756,11067,300,1485573756
1485574370,2548,397,1485573876,10318,351,1485573876
1485574490,2689,397,1485573997,10318,351,1485573997
1485574610,8587,397,1485574116,10315,406,1485574116
1485574730,13622,397,1485574234,10315,406,1485574234
1485574850,2425,397,1485574352,10316,465,1485574352
1485574970,15652,397,1485574471,10314,406,1485574471
1485575090,2655,397,1485574589,10314,406,1485574589
1485575210,14158,397,1485574709,10129,406,1485574709
1485575330,13762,397,1485574874,11124,136,1485574874
1485575450,15654,397,1485574994,11125,136,1485574994
1485575570,13617,397,1485575114,6210,171,1485575114
1485575690,2427,397,1485575234,6210,171,1485575234
1485575810,2595,397,1485575353,6210,171,1485575353
1485575930,8610,397,1485575471,11126,210,1485575471
1485576050,13380,397,1485575591,11126,210,1485575591
1485576170,3010,397,1485575709,11126,210,1485575709
1485576290,8610,397,1485575827,11127,253,1485575827
1485576410,2652,397,1485575945,11127,253,1485575945
1485576530,2595,397,1485576064,11128,253,1485576064
1485576650,14158,397,1485576183,11128,253,1485576183
1485576770,13619,397,1485576301,11129,210,1485576301
1485576890,2688,397,1485576419,11129,253,1485576419
1485577010,8585,397,1485576537,11129,253,1485576537
1485577130,2738,397,1485576655,11128,300,1485576655
1485577250,15839,397,1485576773,11122,300,1485576773
1485577370,13142,397,1485576891,11122,300,1485576891
1485577490,2780,397,1485577010,11097,300,1485577010
1485577610,10806,397,1485577127,11097,300,1485577127
1485577730,15826,397,1485577253,6214,253,1485577253
1485577850,10807,397,1485577371,6214,253,1485577371
1485577970,2939,397,1485577489,11130,210,1485577489
1485578090,10626,397,1485577644,11131,464,1485577644
1485578210,2981,397,1485577763,11132,405,1485577763
1485578330,2782,397,1485577880,11133,405,1485577880
1485578450,15788,397,1485577998,11127,405,1485577998
1485578570,3035,397,1485578117,11134,350,1485578117
1485578690,10919,397,1485578236,11135,350,1485578236
1485578810,3102,397,1485578354,10627,350,1485578354
1485578930,2962,397,1485578473,10627,350,1485578473
1485579050,10710,397,1485578592,6228,299,1485578592
1485579170,13144,397,1485578746,6286,250,1485578746
0,0,0,1485578892,11136,347,1485578892
0,0,0,1485579032,11137,250,1485579032
0,0,0,1485579150,11137,250,1485579150
0,0,0,1485579269,6286,250,1485579269
